"Season_ID","Genus","Species","Date","Locale","Cop_ID","Sex","Age","Copula_","Copula","Thor_col","Col_phas","Parasite","Morph","Wing","Thorax","Length","Abdomen","S_4","Eggs","Season","WingSide","WingID","X1","Y1","X2","Y2","X3","Y3","X4","Y4","X5","Y5","X6","Y6","X7","Y7","X8","Y8","X9","Y9","X10","Y10","X11","Y11","X12","Y12","X13","Y13","X14","Y14","X15","Y15","X16","Y16","X17","Y17","GPA COORDS NEXT","X.1","Y.1","X.2","Y.2","X.3","Y.3","X.4","Y.4","X.5","Y.5","X.6","Y.6","X.7","Y.7","X.8","Y.8","X.9","Y.9","X.10","Y.10","X.11","Y.11","X.12","Y.12","X.13","Y.13","X.14","Y.14","X.15","Y.15","X.16","Y.16","X.17","Y.17"
"2021_408","Enallagma cyathigerum","E. cyathigerum","6/19/21","Vombs Vattenverk",259,"Female","Mature","Couple",1,NA,NA,47,"Gynochrome",21.31964272,3.094546752,34.35224588,26.31719593,1.301323086,165,2021,"Left","Hindwing",512,407,611,387,890,369,1714,269,1779,281,1932,421,1898,471,1828,519,1672,590,704,568,533,505,630,460,715,521,861,436,918,424,1297,380,1660,321,NA,-0.301866891,-0.02578081,-0.256972205,-0.032561669,-0.131302833,-0.034448747,0.240878068,-0.061056315,0.269793296,-0.054225458,0.33537132,0.012026372,0.318998765,0.033720894,0.286500386,0.053720813,0.21486057,0.082135157,-0.21923484,0.050764627,-0.294610793,0.018684847,-0.250061105,0.000634647,-0.213254981,0.029908782,-0.145804271,-0.005010405,-0.119949032,-0.009132043,0.051180568,-0.020473582,0.215473978,-0.038907111
"2021_408","Enallagma cyathigerum","E. cyathigerum","6/19/21","Vombs Vattenverk",259,"Female","Mature","Couple",1,NA,NA,47,"Gynochrome",21.31964272,3.094546752,34.35224588,26.31719593,1.301323086,165,2021,"Right","Forewing",466,319,577,311,878,330,1828,340,1878,362,1998,514,1966,546,1886,594,1675,648,634,506,477,428,592,392,644,464,850,398,906,394,1342,400,1754,372,NA,-0.300571245,-0.024573312,-0.255644941,-0.030980621,-0.132660106,-0.031803428,0.2540557,-0.054729375,0.275022861,-0.047201127,0.328156266,0.011223136,0.316047984,0.025154038,0.284865578,0.046953257,0.200560452,0.074914092,-0.226912878,0.046722397,-0.292997866,0.019452843,-0.247242128,0.001541919,-0.224038181,0.029352997,-0.142116335,-0.003346072,-0.119450701,-0.006564179,0.05806352,-0.016511402,0.224862021,-0.039605162
"2021_408","Enallagma cyathigerum","E. cyathigerum","6/19/21","Vombs Vattenverk",259,"Female","Mature","Couple",1,NA,NA,47,"Gynochrome",21.31964272,3.094546752,34.35224588,26.31719593,1.301323086,165,2021,"Right","Hindwing",524,420,621,407,895,407,1731,349,1790,365,1935,518,1898,566,1842,600,1692,662,698,593,538,524,635,484,715,550,867,471,921,464,1301,438,1670,401,NA,-0.299780426,-0.027461839,-0.256312876,-0.033432295,-0.133476086,-0.033838019,0.241191539,-0.061076379,0.267663038,-0.053991439,0.332876329,0.014373788,0.316365838,0.035946147,0.29129666,0.051280783,0.224105747,0.079295766,-0.221516602,0.049826473,-0.293344892,0.019133938,-0.249920882,0.001060549,-0.213965294,0.030526894,-0.145925574,-0.005105612,-0.121731951,-0.008323355,0.048556716,-0.020539301,0.213918715,-0.0376761
"2021_408","Enallagma cyathigerum","E. cyathigerum","6/19/21","Vombs Vattenverk",259,"Female","Mature","Couple",1,NA,NA,47,"Gynochrome",21.31964272,3.094546752,34.35224588,26.31719593,1.301323086,165,2021,"Left","Forewing",435,354,549,336,839,332,1769,242,1849,258,1975,400,1944,452,1863,500,1631,576,637,530,435,463,564,414,613,483,828,396,874,391,1329,348,1708,292,NA,-0.299608354,-0.024988897,-0.252724076,-0.031284732,-0.13384704,-0.030178218,0.248087495,-0.058250139,0.280714525,-0.05093631,0.331003361,0.008446509,0.317808104,0.029461468,0.284160205,0.048365511,0.188371969,0.07731044,-0.218499745,0.049043346,-0.300634834,0.019675574,-0.247314898,0.000819308,-0.227883026,0.02955737,-0.138961406,-0.00405522,-0.120063062,-0.005669196,0.066775603,-0.018979143,0.22261518,-0.038337672
"2021_398","Enallagma cyathigerum","E. cyathigerum","6/19/21","Vombs Vattenverk",249,"Female","Mature","Couple",1,NA,NA,40,"Gynochrome",20.80175716,2.589423499,34.57359795,26.6879264,1.280871477,NA,2021,"Left","Hindwing",510,333,616,313,907,300,1780,211,1838,224,1975,362,1944,407,1867,457,1688,526,711,492,541,433,636,389,721,452,870,369,938,357,1343,316,1716,261,NA,-0.304420048,-0.024831883,-0.258052549,-0.031858356,-0.131416273,-0.032943315,0.249266084,-0.057924172,0.274262094,-0.051366415,0.331619479,0.010739282,0.317445984,0.02980583,0.28320615,0.0503234,0.204343564,0.077495474,-0.21958504,0.047400796,-0.292520036,0.019100904,-0.25055453,0.001474074,-0.214614112,0.030178277,-0.148568018,-0.00354489,-0.118840036,-0.007691738,0.057752573,-0.01915435,0.220674714,-0.037202916
"2021_398","Enallagma cyathigerum","E. cyathigerum","6/19/21","Vombs Vattenverk",249,"Female","Mature","Couple",1,NA,NA,40,"Gynochrome",20.80175716,2.589423499,34.57359795,26.6879264,1.280871477,NA,2021,"Right","Forewing",406,310,524,294,846,296,1818,233,1886,254,1994,389,1960,434,1869,486,1620,552,620,487,431,416,542,374,608,443,822,368,876,361,1319,333,1744,277,NA,-0.304920797,-0.024033403,-0.257818188,-0.030470272,-0.129263375,-0.029807797,0.25875707,-0.055369476,0.2859133,-0.047014835,0.329093238,0.006840983,0.31553852,0.024822706,0.27922958,0.045622315,0.179848392,0.072077097,-0.219410914,0.046542114,-0.294894966,0.018275422,-0.250597921,0.001460755,-0.224216332,0.028980522,-0.138813319,-0.001052373,-0.11725743,-0.003869881,0.059581619,-0.015234516,0.229231525,-0.037769361
"2021_398","Enallagma cyathigerum","E. cyathigerum","6/19/21","Vombs Vattenverk",249,"Female","Mature","Couple",1,NA,NA,40,"Gynochrome",20.80175716,2.589423499,34.57359795,26.6879264,1.280871477,NA,2021,"Left","Forewing",414,373,529,358,847,363,1835,309,1900,332,2006,472,1969,517,1885,563,1645,626,610,550,437,481,547,440,610,509,831,435,883,428,1338,403,1756,352,NA,-0.30314915,-0.023826949,-0.257686736,-0.03027939,-0.131764805,-0.029723168,0.259134448,-0.055523285,0.284971224,-0.046709374,0.327570637,0.008247755,0.313124419,0.026231182,0.280071833,0.044821219,0.185334546,0.070837851,-0.22475683,0.045373171,-0.293559473,0.018828156,-0.250193296,0.002103756,-0.224938325,0.029139969,-0.137777549,-0.001145852,-0.117221073,-0.004149899,0.062789645,-0.016082456,0.228050485,-0.038142687
"2021_398","Enallagma cyathigerum","E. cyathigerum","6/19/21","Vombs Vattenverk",249,"Female","Mature","Couple",1,NA,NA,40,"Gynochrome",20.80175716,2.589423499,34.57359795,26.6879264,1.280871477,NA,2021,"Right","Hindwing",390,402,494,380,784,360,1648,258,1712,269,1855,406,1827,453,1754,503,1576,576,597,558,430,501,516,454,601,515,756,430,815,417,1207,367,1590,310,NA,-0.30453068,-0.024619625,-0.258791417,-0.031768046,-0.132209937,-0.033722503,0.245891993,-0.057994753,0.273467632,-0.051722742,0.332467896,0.011180519,0.319198784,0.030969972,0.286287716,0.051018457,0.207171184,0.078626312,-0.218139027,0.048034066,-0.289439627,0.019362972,-0.25094443,0.000923854,-0.215399557,0.029427522,-0.146009992,-0.003932055,-0.120052185,-0.00821311,0.05157414,-0.020842335,0.219457506,-0.036728502
"2021_814","Enallagma cyathigerum","E. cyathigerum","7/8/21","Vomb vattenverk",483,"Female","Mature","Couple",1,NA,NA,28,"Gynochrome",21.45856601,2.898329892,34.77266064,26.22674014,1.276052271,972,2021,"Right","Forewing",367,389,484,374,798,376,1786,299,1850,316,1970,454,1931,502,1831,554,1569,624,549,558,390,495,500,454,557,521,779,445,831,439,1284,411,1712,346,NA,-0.30102706,-0.023796051,-0.254731486,-0.029444087,-0.130583852,-0.027896652,0.260221575,-0.055955296,0.285485285,-0.0490793,0.332602933,0.005778327,0.317069088,0.024664307,0.277407333,0.044984454,0.173652774,0.072028789,-0.229467727,0.043465908,-0.292187925,0.018170487,-0.24859728,0.002224764,-0.226215453,0.028853801,-0.138261951,-0.000659752,-0.117686886,-0.002907088,0.061471608,-0.012884603,0.230849026,-0.037548008
"2021_814","Enallagma cyathigerum","E. cyathigerum","7/8/21","Vomb vattenverk",483,"Female","Mature","Couple",1,NA,NA,28,"Gynochrome",21.45856601,2.898329892,34.77266064,26.22674014,1.276052271,972,2021,"Left","Hindwing",468,398,575,374,864,351,1713,235,1775,243,1922,380,1893,427,1815,477,1644,547,680,552,505,498,597,448,684,507,825,421,891,406,1268,356,1659,293,NA,-0.305150795,-0.025114149,-0.257422401,-0.032373939,-0.129789937,-0.033616586,0.246635463,-0.058541266,0.273619594,-0.053126436,0.333978392,0.011547819,0.319801948,0.031302109,0.284011565,0.050872925,0.206751889,0.076376218,-0.216765075,0.049018665,-0.291967252,0.019938118,-0.250028041,0.000799669,-0.213628969,0.029378499,-0.149056747,-0.00406855,-0.119614684,-0.008632561,0.047486911,-0.019036763,0.221138139,-0.034723771
